2023-05-29 13:08:13,611 - INFO] {'__module__': '__main__', 'seed': 1024, 'pass_channel': True, 'CUDA': True, 'device': device(type='cuda', index=0), 'norm': False, 'print_step': 100, 'plot_step': 10000, 'filename': '2023-05-29 13:08:13', 'workdir': './history/2023-05-29 13:08:13', 'log': './history/2023-05-29 13:08:13/Log_2023-05-29 13:08:13.log', 'samples': './history/2023-05-29 13:08:13/samples', 'models': './history/2023-05-29 13:08:13/models', 'logger': <Logger Deep joint source channel coder (INFO)>, 'normalize': False, 'learning_rate': 0.0001, 'tot_epoch': 10000000, 'save_model_freq': 5, 'image_dims': (3, 32, 32), 'train_data_dir': 'media/Dataset/CIFAR10/', 'test_data_dir': 'media/Dataset/CIFAR10/', 'batch_size': 128, 'downsample': 2, 'encoder_kwargs': {'img_size': (32, 32), 'patch_size': 2, 'in_chans': 3, 'embed_dims': [128, 256], 'depths': [2, 4], 'num_heads': [4, 8], 'C': 96, 'window_size': 2, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}, 'decoder_kwargs': {'img_size': (32, 32), 'embed_dims': [256, 128], 'depths': [4, 2], 'num_heads': [8, 4], 'C': 96, 'window_size': 2, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}, '__dict__': <attribute '__dict__' of 'config' objects>, '__weakref__': <attribute '__weakref__' of 'config' objects>, '__doc__': None}
2023-05-29 13:08:13,707 - INFO] Network config: 
2023-05-29 13:08:13,707 - INFO] Encoder: 
2023-05-29 13:08:13,707 - INFO] {'img_size': (32, 32), 'patch_size': 2, 'in_chans': 3, 'embed_dims': [128, 256], 'depths': [2, 4], 'num_heads': [4, 8], 'C': 96, 'window_size': 2, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}
2023-05-29 13:08:13,707 - INFO] Decoder: 
2023-05-29 13:08:13,707 - INFO] {'img_size': (32, 32), 'embed_dims': [256, 128], 'depths': [4, 2], 'num_heads': [8, 4], 'C': 96, 'window_size': 2, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}
2023-05-29 13:08:13,707 - INFO] 【Channel】: Built awgn channel, SNR 1,3,7 dB.
2023-05-29 13:11:55,627 - INFO] Epoch 0 | Step [100/3906=2.56%] | Time 2.190 | Loss 490.229 (2091.887) | CBR 1.0000 (1.0000) | SNR 7.0 (3.8) | PSNR 21.227 (16.530) | MSSSIM 0.884 (0.619) | Lr 0.0001
2023-05-29 13:15:36,227 - INFO] Epoch 0 | Step [200/3906=5.12%] | Time 2.262 | Loss 248.558 (392.634) | CBR 1.0000 (1.0000) | SNR 7.0 (3.1) | PSNR 24.177 (22.250) | MSSSIM 0.941 (0.894) | Lr 0.0001
2023-05-29 13:19:17,162 - INFO] Epoch 0 | Step [300/3906=7.68%] | Time 2.242 | Loss 230.427 (241.378) | CBR 1.0000 (1.0000) | SNR 1.0 (3.9) | PSNR 24.505 (24.380) | MSSSIM 0.914 (0.928) | Lr 0.0001
2023-05-29 13:22:57,190 - INFO] Epoch 0 | Step [400/3906=10.24%] | Time 2.224 | Loss 166.802 (184.528) | CBR 1.0000 (1.0000) | SNR 3.0 (3.7) | PSNR 25.909 (25.527) | MSSSIM 0.940 (0.937) | Lr 0.0001
2023-05-29 13:26:40,942 - INFO] Epoch 0 | Step [500/3906=12.80%] | Time 2.185 | Loss 174.899 (153.722) | CBR 1.0000 (1.0000) | SNR 1.0 (3.4) | PSNR 25.703 (26.366) | MSSSIM 0.926 (0.941) | Lr 0.0001
2023-05-29 13:30:24,044 - INFO] Epoch 0 | Step [600/3906=15.36%] | Time 2.183 | Loss 132.685 (128.447) | CBR 1.0000 (1.0000) | SNR 3.0 (3.9) | PSNR 26.903 (27.191) | MSSSIM 0.948 (0.949) | Lr 0.0001
2023-05-29 13:34:03,784 - INFO] Epoch 0 | Step [700/3906=17.92%] | Time 2.196 | Loss 80.052 (114.512) | CBR 1.0000 (1.0000) | SNR 7.0 (4.1) | PSNR 29.097 (27.679) | MSSSIM 0.972 (0.954) | Lr 0.0001
2023-05-29 13:37:45,014 - INFO] Epoch 0 | Step [800/3906=20.48%] | Time 2.242 | Loss 75.204 (111.424) | CBR 1.0000 (1.0000) | SNR 7.0 (4.0) | PSNR 29.368 (27.855) | MSSSIM 0.974 (0.954) | Lr 0.0001
2023-05-29 13:41:25,677 - INFO] Epoch 0 | Step [900/3906=23.04%] | Time 2.149 | Loss 113.636 (99.674) | CBR 1.0000 (1.0000) | SNR 3.0 (4.1) | PSNR 27.576 (28.338) | MSSSIM 0.956 (0.958) | Lr 0.0001
2023-05-29 13:45:06,356 - INFO] Epoch 0 | Step [1000/3906=25.60%] | Time 2.171 | Loss 128.729 (104.529) | CBR 1.0000 (1.0000) | SNR 1.0 (3.3) | PSNR 27.034 (28.113) | MSSSIM 0.939 (0.955) | Lr 0.0001
2023-05-29 13:48:46,702 - INFO] Epoch 0 | Step [1100/3906=28.16%] | Time 2.238 | Loss 127.203 (98.111) | CBR 1.0000 (1.0000) | SNR 1.0 (3.5) | PSNR 27.086 (28.386) | MSSSIM 0.940 (0.957) | Lr 0.0001
